timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.65531E+12,877,Login,200,OK,Workers 1-186,text,TRUE,,3194,826,300,343,http://localhost/login,877,0,0,,,,
1.65531E+12,378,addProductToCart,200,OK,Workers 1-34,text,TRUE,,3274,813,300,339,http://localhost/addToCart,378,0,0,,,,
1.65531E+12,359,addProductToCart,200,OK,Workers 1-35,text,TRUE,,3275,843,300,339,http://localhost/addToCart,358,0,1,,,,
1.65531E+12,783,Login,200,OK,Workers 1-220,text,TRUE,,3194,831,300,339,http://localhost/login,783,0,1,,,,
1.65531E+12,797,Login,200,OK,Workers 1-219,text,TRUE,,3195,831,300,335,http://localhost/login,796,0,0,,,,
1.65531E+12,355,addProductToCart,200,OK,Workers 1-23,text,TRUE,,3273,838,300,335,http://localhost/addToCart,355,0,0,,,,
1.65531E+12,1009,Login,200,OK,Workers 1-151,text,TRUE,,3194,826,300,335,http://localhost/login,1009,0,1,,,,
1.65531E+12,1023,Login,200,OK,Workers 1-145,text,TRUE,,3196,836,300,335,http://localhost/login,1023,0,0,,,,
1.65531E+12,1017,Login,200,OK,Workers 1-148,text,TRUE,,3195,786,300,335,http://localhost/login,1017,0,1,,,,
1.65531E+12,1014,Login,200,OK,Workers 1-149,text,TRUE,,3194,791,300,335,http://localhost/login,1014,0,1,,,,
1.65531E+12,848,Login,200,OK,Workers 1-205,text,TRUE,,3194,826,300,335,http://localhost/login,848,0,1,,,,
1.65531E+12,575,Login,200,OK,Workers 1-298,text,TRUE,,3195,796,300,332,http://localhost/login,575,0,1,,,,
1.65531E+12,868,addProductToCart,200,OK,Workers 1-120,text,TRUE,,3274,823,300,332,http://localhost/addToCart,868,0,0,,,,
1.65531E+12,1122,Login,200,OK,Workers 1-117,text,TRUE,,3195,796,300,332,http://localhost/login,1122,0,1,,,,
1.65531E+12,957,Login,200,OK,Workers 1-174,text,TRUE,,3194,826,300,332,http://localhost/login,957,0,1,,,,
1.65531E+12,324,addProductToCart,200,OK,Workers 1-11,text,TRUE,,3274,813,300,332,http://localhost/addToCart,324,0,1,,,,
1.65531E+12,1293,Login,200,OK,Workers 1-62,text,TRUE,,3193,785,300,332,http://localhost/login,1293,0,1,,,,
1.65531E+12,1075,Login,200,OK,Workers 1-136,text,TRUE,,3195,816,300,332,http://localhost/login,1074,0,1,,,,
1.65531E+12,1079,Login,200,OK,Workers 1-135,text,TRUE,,3194,786,300,332,http://localhost/login,1078,0,1,,,,
1.65531E+12,1015,Login,200,OK,Workers 1-157,text,TRUE,,3195,801,300,331,http://localhost/login,1015,0,1,,,,
1.65531E+12,1000,Login,200,OK,Workers 1-163,text,TRUE,,3194,811,300,330,http://localhost/login,1000,0,1,,,,
1.65531E+12,1079,Login,200,OK,Workers 1-137,text,TRUE,,3195,836,300,329,http://localhost/login,1079,0,2,,,,
1.65531E+12,530,addProductToCart,200,OK,Workers 1-38,text,TRUE,,3274,813,300,329,http://localhost/addToCart,530,0,1,,,,
1.65531E+12,1119,Login,200,OK,Workers 1-125,text,TRUE,,3195,811,300,328,http://localhost/login,1119,0,1,,,,
1.65531E+12,1080,Login,200,OK,Workers 1-140,text,TRUE,,3195,811,300,326,http://localhost/login,1080,0,1,,,,
1.65531E+12,1072,Login,200,OK,Workers 1-143,text,TRUE,,3196,796,300,326,http://localhost/login,1072,0,1,,,,
1.65531E+12,464,Purchase Items,200,OK,Workers 1-124,text,TRUE,,3589,2035,300,326,http://localhost/purchaseCart,464,0,1,,,,
1.65531E+12,1168,Login,200,OK,Workers 1-111,text,TRUE,,3194,826,300,326,http://localhost/login,1168,0,1,,,,
1.65531E+12,1118,Login,200,OK,Workers 1-130,text,TRUE,,3195,801,300,323,http://localhost/login,1118,0,1,,,,
1.65531E+12,1194,Login,200,OK,Workers 1-106,text,TRUE,,3195,811,300,321,http://localhost/login,1193,0,1,,,,
1.65531E+12,1115,Login,200,OK,Workers 1-134,text,TRUE,,3195,836,300,321,http://localhost/login,1114,0,1,,,,
1.65531E+12,1185,Login,200,OK,Workers 1-112,text,TRUE,,3196,796,300,318,http://localhost/login,1185,0,1,,,,
1.65531E+12,1104,Login,200,OK,Workers 1-141,text,TRUE,,3196,836,300,317,http://localhost/login,1104,0,0,,,,
1.65531E+12,1206,Login,200,OK,Workers 1-105,text,TRUE,,3194,831,300,317,http://localhost/login,1206,0,1,,,,
1.65531E+12,1181,Login,200,OK,Workers 1-116,text,TRUE,,3195,786,300,316,http://localhost/login,1181,0,1,,,,
1.65531E+12,1188,Login,200,OK,Workers 1-113,text,TRUE,,3195,806,300,316,http://localhost/login,1188,0,0,,,,
1.65531E+12,1397,Login,200,OK,Workers 1-46,text,TRUE,,3193,810,300,313,http://localhost/login,1397,0,0,,,,
1.65531E+12,1498,Login,200,OK,Workers 1-13,text,TRUE,,3191,830,300,312,http://localhost/login,1498,0,1,,,,
1.65531E+12,1525,Login,200,OK,Workers 1-5,text,TRUE,,3193,819,300,312,http://localhost/login,1525,0,1,,,,
1.65531E+12,520,addProductToCart,200,OK,Workers 1-42,text,TRUE,,3274,803,300,312,http://localhost/addToCart,520,0,0,,,,
1.65531E+12,1534,Login,200,OK,Workers 1-4,text,TRUE,,3193,789,300,311,http://localhost/login,1534,0,1,,,,
1.65531E+12,1473,Login,200,OK,Workers 1-24,text,TRUE,,3192,815,300,311,http://localhost/login,1473,0,1,,,,
1.65531E+12,1517,Login,200,OK,Workers 1-12,text,TRUE,,3193,800,300,310,http://localhost/login,1517,0,1,,,,
1.65531E+12,151,addProductToCart,200,OK,Workers 1-171,text,TRUE,,3274,808,300,310,http://localhost/addToCart,151,0,0,,,,
1.65531E+12,142,addProductToCart,200,OK,Workers 1-179,text,TRUE,,3275,813,300,310,http://localhost/addToCart,141,0,1,,,,
1.65531E+12,1225,Login,200,OK,Workers 1-110,text,TRUE,,3196,816,300,310,http://localhost/login,1224,0,1,,,,
1.65531E+12,1410,Login,200,OK,Workers 1-50,text,TRUE,,3192,785,300,310,http://localhost/login,1410,0,0,,,,
1.65531E+12,1558,Login,200,OK,Workers 1-1,text,TRUE,,3191,829,300,310,http://localhost/login,1558,0,1,,,,
1.65531E+12,1559,Login,200,OK,Workers 1-2,text,TRUE,,3191,829,300,310,http://localhost/login,1559,0,1,,,,
1.65531E+12,1422,Login,200,OK,Workers 1-48,text,TRUE,,3192,825,300,310,http://localhost/login,1422,0,1,,,,
1.65531E+12,1510,Login,200,OK,Workers 1-19,text,TRUE,,3194,800,300,310,http://localhost/login,1510,0,0,,,,
1.65531E+12,1259,Login,200,OK,Workers 1-101,text,TRUE,,3195,816,300,310,http://localhost/login,1259,0,1,,,,
1.65531E+12,1539,Login,200,OK,Workers 1-10,text,TRUE,,3192,834,300,310,http://localhost/login,1539,0,1,,,,
1.65531E+12,1406,Login,200,OK,Workers 1-54,text,TRUE,,3193,785,300,310,http://localhost/login,1406,0,0,,,,
1.65531E+12,1499,Login,200,OK,Workers 1-25,text,TRUE,,3193,830,300,306,http://localhost/login,1499,0,1,,,,
1.65531E+12,1320,Login,200,OK,Workers 1-85,text,TRUE,,3194,785,300,306,http://localhost/login,1320,0,1,,,,
1.65531E+12,1494,Login,200,OK,Workers 1-29,text,TRUE,,3194,825,300,303,http://localhost/login,1494,0,2,,,,
1.65531E+12,493,addProductToCart,200,OK,Workers 1-30,text,TRUE,,3273,823,300,303,http://localhost/addToCart,493,0,1,,,,
1.65531E+12,1415,Login,200,OK,Workers 1-57,text,TRUE,,3195,790,300,302,http://localhost/login,1415,0,0,,,,
1.65531E+12,1287,Login,200,OK,Workers 1-99,text,TRUE,,3194,820,300,302,http://localhost/login,1286,0,0,,,,
1.65531E+12,445,addProductToCart,200,OK,Workers 1-45,text,TRUE,,3275,803,300,302,http://localhost/addToCart,445,0,0,,,,
1.65531E+12,1417,Login,200,OK,Workers 1-60,text,TRUE,,3193,785,300,302,http://localhost/login,1416,0,0,,,,
1.65531E+12,1535,Login,200,OK,Workers 1-20,text,TRUE,,3194,835,300,302,http://localhost/login,1535,0,0,,,,
