timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655465385538,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-205,text,false,,2628,0,188,342,http://localhost/logout,0,0,0
1655465385538,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-209,text,false,,2328,0,188,341,http://localhost/login,0,0,1
1655465385539,0,Debug Sampler,200,OK,Workers 1-205,text,true,,443,0,188,342,null,0,0,0
1655465385538,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-208,text,false,,2628,0,188,341,http://localhost/logout,0,0,0
1655465385539,0,Debug Sampler,200,OK,Workers 1-208,text,true,,444,0,187,340,null,0,0,0
1655465385539,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-209,text,false,,2628,0,186,339,http://localhost/openStore,0,0,1
1655465385540,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-209,text,false,,2628,0,186,339,http://localhost/logout,0,0,1
1655465385541,0,Debug Sampler,200,OK,Workers 1-209,text,true,,444,0,187,340,null,0,0,0
1655465385541,2,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-210,text,false,,2328,0,187,340,http://localhost/register,0,0,2
1655465385543,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-210,text,false,,2328,0,187,341,http://localhost/login,0,0,1
1655465385543,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-211,text,false,,2328,0,187,342,http://localhost/register,0,0,1
1655465385544,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-210,text,false,,2628,0,187,342,http://localhost/openStore,0,0,1
1655465385545,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-211,text,false,,2328,0,188,343,http://localhost/login,0,0,1
1655465385545,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-210,text,false,,2628,0,188,343,http://localhost/logout,0,0,1
1655465385546,0,Debug Sampler,200,OK,Workers 1-210,text,true,,444,0,188,343,null,0,0,0
1655465385546,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-211,text,false,,2628,0,187,341,http://localhost/openStore,0,0,1
1655465385547,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-212,text,false,,2328,0,187,341,http://localhost/register,0,0,0
