timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.65546E+12,834,addProductToCart,200,OK,Workers 1-58,text,TRUE,,3231,801,150,150,http://localhost/addToCart,834,0,0,,,,,,
1.65546E+12,5971,Login,200,OK,Workers 1-60,text,TRUE,,3196,795,150,150,http://localhost/login,5971,0,0,,,,,,
1.65546E+12,5991,Login,200,OK,Workers 1-61,text,TRUE,,3196,825,150,150,http://localhost/login,5991,0,0,,,,,,
1.65546E+12,6013,Login,200,OK,Workers 1-62,text,TRUE,,3195,810,150,150,http://localhost/login,6013,0,0,,,,,,
1.65546E+12,6040,Login,200,OK,Workers 1-64,text,TRUE,,3195,835,150,150,http://localhost/login,6040,0,1,,,,,,
1.65546E+12,1279,addProductToCart,200,OK,Workers 1-67,text,TRUE,,3232,826,150,150,http://localhost/addToCart,1279,0,1,,,,,,
1.65546E+12,1359,addProductToCart,200,OK,Workers 1-45,text,TRUE,,3232,806,150,150,http://localhost/addToCart,1359,0,0,,,,,,
1.65546E+12,1485,addProductToCart,200,OK,Workers 1-69,text,TRUE,,3232,806,150,150,http://localhost/addToCart,1485,0,0,,,,,,
1.65546E+12,6222,Login,200,OK,Workers 1-70,text,TRUE,,3196,805,150,150,http://localhost/login,6222,0,0,,,,,,
1.65546E+12,6256,Login,200,OK,Workers 1-71,text,TRUE,,3195,795,150,150,http://localhost/login,6256,0,0,,,,,,
1.65546E+12,6281,Login,200,OK,Workers 1-73,text,TRUE,,3195,835,150,150,http://localhost/login,6281,0,0,,,,,,
1.65546E+12,1728,addProductToCart,200,OK,Workers 1-72,text,TRUE,,3232,821,150,150,http://localhost/addToCart,1728,0,0,,,,,,
1.65546E+12,1808,addProductToCart,200,OK,Workers 1-74,text,TRUE,,3231,801,150,150,http://localhost/addToCart,1808,0,0,,,,,,
1.65546E+12,1887,addProductToCart,200,OK,Workers 1-75,text,TRUE,,3233,831,150,150,http://localhost/addToCart,1887,0,0,,,,,,
1.65546E+12,1972,addProductToCart,200,OK,Workers 1-44,text,TRUE,,3231,811,150,150,http://localhost/addToCart,1972,0,0,,,,,,
1.65546E+12,304,Purchase Items,200,OK,Workers 1-69,text,TRUE,,3604,1999,150,150,http://localhost/purchaseCart,304,0,0,,,,,,
1.65546E+12,2109,addProductToCart,200,OK,Workers 1-76,text,TRUE,,3233,831,150,150,http://localhost/addToCart,2109,0,1,,,,,,
1.65546E+12,2200,addProductToCart,200,OK,Workers 1-77,text,TRUE,,3232,811,150,150,http://localhost/addToCart,2200,0,1,,,,,,
1.65546E+12,2281,addProductToCart,200,OK,Workers 1-78,text,TRUE,,3232,796,150,150,http://localhost/addToCart,2281,0,0,,,,,,
1.65546E+12,6630,Login,200,OK,Workers 1-79,text,TRUE,,3196,820,150,150,http://localhost/login,6630,0,1,,,,,,
1.65546E+12,6651,Login,200,OK,Workers 1-80,text,TRUE,,3194,810,150,150,http://localhost/login,6650,0,1,,,,,,
1.65546E+12,6673,Login,200,OK,Workers 1-82,text,TRUE,,3196,800,150,150,http://localhost/login,6673,0,0,,,,,,
1.65546E+12,6692,Login,200,OK,Workers 1-81,text,TRUE,,3195,800,150,150,http://localhost/login,6691,0,1,,,,,,
1.65546E+12,6713,Login,200,OK,Workers 1-83,text,TRUE,,3194,825,150,150,http://localhost/login,6713,0,0,,,,,,
1.65546E+12,2548,addProductToCart,200,OK,Workers 1-84,text,TRUE,,3232,796,150,150,http://localhost/addToCart,2548,0,1,,,,,,
